Name,Qid code,source,category
Power station,Q159719,https://www.wikidata.org/wiki/Q159719,Power Generation Infrastructure
Nuclear power plant,Q134447,https://www.wikidata.org/wiki/Q134447,Power Generation Infrastructure
Hydroelectric power station,Q15911738,https://www.wikidata.org/wiki/Q15911738,Power Generation Infrastructure
Wind farm,Q194356,https://www.wikidata.org/wiki/Q194356,Power Generation Infrastructure
Solar power station,Q2298412,https://www.wikidata.org/wiki/Q2298412,Power Generation Infrastructure
Geothermal power station,Q30565277,https://www.wikidata.org/wiki/Q30565277,Power Generation Infrastructure
Biomass-fired power station,Q55364050,https://www.wikidata.org/wiki/Q55364050,Power Generation Infrastructure
Energy infrastructure,Q56397239,https://www.wikidata.org/wiki/Q56397239,Power Generation Infrastructure
Gas-fired power station,Q2944640,https://www.wikidata.org/wiki/Q2944640,Power Generation Infrastructure
Coal-fired power station,Q6558431,https://www.wikidata.org/wiki/Q6558431,Power Generation Infrastructure
Tidal power station,Q25509593,https://www.wikidata.org/wiki/Q25509593,Power Generation Infrastructure
Battery storage power station,Q810924,https://www.wikidata.org/wiki/Q810924,Energy Storage Systems
Lithium iron phosphate battery,Q901551,https://www.wikidata.org/wiki/Q901551,Energy Storage Systems
Flow battery,Q907511,https://www.wikidata.org/wiki/Q907511,Energy Storage Systems
Flywheel energy storage,Q1538992,https://www.wikidata.org/wiki/Q1538992,Energy Storage Systems
Compressed air energy storage,Q1260916,https://www.wikidata.org/wiki/Q1260916,Energy Storage Systems
Pumped-storage power station,Q339353,https://www.wikidata.org/wiki/Q339353,Energy Storage Systems
Energy storage (concept),Q837718,https://www.wikidata.org/wiki/Q837718,Energy Storage Systems
Grid energy storage,Q1832610,https://www.wikidata.org/wiki/Q1832610,Energy Storage Systems
Electrical substation,Q174814,https://www.wikidata.org/wiki/Q174814,Transmission and Distribution Infrastructure
Transformer,Q11658,https://www.wikidata.org/wiki/Q11658,Transmission and Distribution Infrastructure
power transformer,Q4419282,https://www.wikidata.org/wiki/Q4419282,Transmission and Distribution Infrastructure
autotransformer,Q565668,https://www.wikidata.org/wiki/Q565668,Transmission and Distribution Infrastructure
transformer type,Q7834127,https://www.wikidata.org/wiki/Q7834127,Transmission and Distribution Infrastructure
generator transformer,Q1489990,https://www.wikidata.org/wiki/Q1489990,Transmission and Distribution Infrastructure
zigzag transformer,Q198468,https://www.wikidata.org/wiki/Q198468,Transmission and Distribution Infrastructure
delta-wye transformer,Q1258026,https://www.wikidata.org/wiki/Q1258026,Transmission and Distribution Infrastructure
Switchgear,Q1273786,https://www.wikidata.org/wiki/Q1273786,Transmission and Distribution Infrastructure
Busbar,Q1030817,https://www.wikidata.org/wiki/Q1030817,Transmission and Distribution Infrastructure
Circuit breaker,Q211058,https://www.wikidata.org/wiki/Q211058,Transmission and Distribution Infrastructure
Disconnector (disconnect switch),Q10860300,https://www.wikidata.org/wiki/Q10860300,Transmission and Distribution Infrastructure
Surge arrester,Q14190856,https://www.wikidata.org/wiki/Q14190856,Transmission and Distribution Infrastructure
Current transformer,Q856535,https://www.wikidata.org/wiki/Q856535,Transmission and Distribution Infrastructure
Voltage transformer,Q1288234,https://www.wikidata.org/wiki/Q1288234,Transmission and Distribution Infrastructure
Overhead power line,Q2144320,https://www.wikidata.org/wiki/Q2144320,Transmission and Distribution Infrastructure
Underground power cable,Q1939150,https://www.wikidata.org/wiki/Q1939150,Transmission and Distribution Infrastructure
Submarine power cable,Q4117949,https://www.wikidata.org/wiki/Q4117949,Transmission and Distribution Infrastructure
Interconnector (electricity),Q48970589,https://www.wikidata.org/wiki/Q48970589,Transmission and Distribution Infrastructure
Transmission tower (pylon),Q914711,https://www.wikidata.org/wiki/Q914711,Structural and Support Components
Electrical insulator,Q178150,https://www.wikidata.org/wiki/Q178150,Structural and Support Components
Lightning rod,Q7973,https://www.wikidata.org/wiki/Q7973,Structural and Support Components
Utility pole,Q1144084,https://www.wikidata.org/wiki/Q1144084,Structural and Support Components
Power-system protection,Q1756067,https://www.wikidata.org/wiki/Q1756067,Control and Protection Equipment
