jao_substation,matched_osm_name,osm_id,latitude,longitude
Altdöbern,Umspannwerk Altdöbern,1068350839,51.6403209,14.0000117
Altenfeld,Umspannwerk Altenfeld,149256409,50.5734236,10.991345
Bärwalde,Schaltwerk Bärwalde,157806991,51.4136565,14.5080932
Bentwisch,Bentwisch HGÜ,32063539,54.0999746,12.2136397
Bertikow,Umspannwerk Bertikow,30039908,53.2525038,13.9572215
Charlottenburg,Umspannwerk Charlottenburg,46615737,52.5220201,13.3155265
Eisenach,Unterwerk Eisenach,29487085,50.9641736,10.3719972
Eula,Neuland,28701956,53.4520615,10.0027232
Förderstedt,Förderstedt 110 kV,35137205,51.9092961,11.6443849
Friedrichshain,Umspannwerk Friedrichshain,30954714,52.5214596,13.4564335
Görries,Umspannwerk Görries,30040568,53.6007115,11.3706157
Gransee,Umspannwerk Gransee,518455594,52.9941334,13.2634937
Graustein,Umspannwerk Graustein,30164703,51.5536869,14.4718998
Güstrow,Umspannwerk Güstrow,32062544,53.8164841,12.1881266
Hagenwerder,Umspannwerk Hagenwerder,59026005,51.062518,14.9465212
Hamburg/Ost,Hamburg/Ost,23583867,53.5553753,10.1594788
Hamburg/Süd,Hamburg/Süd,11285720,53.4880407,9.9089299
Heinersdorf,Umspannwerk Heinersdorf,47493333,52.5629929,13.4434159
Hennigsdorf,Hennigsdorf,27883686,52.6418481,13.2136946
Klostermansfeld,Umspannwerk Klostermansfeld,32690742,51.5839908,11.5169356
Krümmel,Umspannwerk Krümmel,943441483,53.4121613,10.418303
Lauchstädt,Umspannwerk Lauchstädt,29713902,51.4063614,11.8947029
Lubmin,Lubmin EWN,177914437,54.1394839,13.666073
Lüdershagen,Umspannwerk Lüdershagen,29389718,54.2856034,13.0779783
Marke,Umspannwerk Marke,25526912,51.741528,12.2629207
Marzahn,Umspannwerk Marzahn,22973070,52.5358154,13.5241298
Neuenhagen,Umspannwerk Neuenhagen,137197826,52.5391386,13.7097134
Pasewalk,Umspannwerk Pasewalk,39437430,53.5084632,14.0341826
Perleberg,Umspannwerk Perleberg,59707532,53.0869294,11.8524416
Preilack,Umspannwerk Preilack,941198517,51.888923,14.4282757
Pulgar,Umspannwerk Pulgar,442199284,51.1969579,12.3374246
Ragow,Stacja elektroenergetyczna 110/15kV Mrągowo,258550287,53.8800178,21.3342918
Remptendorf,Umspannwerk Remptendorf,128277645,50.534273,11.6460233
Reuter,EnBW Umspannwerk Reuterstraße,28480152,48.7742739,9.1461095
Röhrsdorf,Umspannwerk Röhrsdorf,23117075,50.8586618,12.8151186
Schmölln,Umspannwerk Schmölln,157807291,51.1199666,14.2192312
Schönewalde,UW Schönewalde,28729619,51.8281903,13.1578206
Siedenbrünzow,Umspannwerk Siedenbrünzow,369680693,53.9089372,13.1432379
Streumen,Umspannwerk Streumen,157328339,51.3561476,13.3834054
