,country,countryLabel,count,typeLabel
38,http://www.wikidata.org/entity/Q408,Australia,923,"Electrical substation, HVDC converter station"
11,http://www.wikidata.org/entity/Q183,Germany,507,"Electrical substation, HVDC back-to-back station, HVDC converter station, Substation platform (offshore)"
42,http://www.wikidata.org/entity/Q55,Netherlands,129,"Electrical substation, Substation platform (offshore)"
4,http://www.wikidata.org/entity/Q142,France,67,"Electrical substation, HVDC converter station"
33,http://www.wikidata.org/entity/Q36,Poland,62,Electrical substation
9,http://www.wikidata.org/entity/Q16,Canada,51,"Electrical substation, HVDC back-to-back station, HVDC converter station"
5,http://www.wikidata.org/entity/Q145,United Kingdom,48,"Electrical substation, HVDC converter station, Substation platform (offshore)"
17,http://www.wikidata.org/entity/Q213,Czech Republic,45,Electrical substation
27,http://www.wikidata.org/entity/Q30,United States,39,"Electrical substation, HVDC back-to-back station, HVDC converter station"
37,http://www.wikidata.org/entity/Q40,Austria,34,"Electrical substation, HVDC back-to-back station"
32,http://www.wikidata.org/entity/Q35,Denmark,22,"Electrical substation, HVDC converter station, Substation platform (offshore)"
8,http://www.wikidata.org/entity/Q159,Russia,18,"Electrical substation, HVDC back-to-back station"
18,http://www.wikidata.org/entity/Q214,Slovakia,18,Electrical substation
28,http://www.wikidata.org/entity/Q31,Belgium,15,"Electrical substation, HVDC converter station, Substation platform (offshore)"
26,http://www.wikidata.org/entity/Q29,Spain,13,"Electrical substation, HVDC converter station"
14,http://www.wikidata.org/entity/Q20,Norway,13,Electrical substation
10,http://www.wikidata.org/entity/Q17,Japan,11,"Electrical substation, HVDC back-to-back station"
16,http://www.wikidata.org/entity/Q212,Ukraine,10,Electrical substation
35,http://www.wikidata.org/entity/Q39,Switzerland,10,"Electrical substation, Mobile electrical substation"
43,http://www.wikidata.org/entity/Q664,New Zealand,9,Electrical substation
6,http://www.wikidata.org/entity/Q148,People's Republic of China,8,"Electrical substation, HVDC converter station"
24,http://www.wikidata.org/entity/Q27,Ireland,8,"Electrical substation, HVDC converter station"
53,http://www.wikidata.org/entity/Q928,Philippines,6,Electrical substation
7,http://www.wikidata.org/entity/Q155,Brazil,6,"Electrical substation, HVDC converter station"
54,http://www.wikidata.org/entity/Q96,Mexico,6,Electrical substation
34,http://www.wikidata.org/entity/Q38,Italy,5,Electrical substation
29,http://www.wikidata.org/entity/Q32,Luxembourg,5,Electrical substation
25,http://www.wikidata.org/entity/Q28,Hungary,4,Electrical substation
44,http://www.wikidata.org/entity/Q668,India,4,"Electrical substation, HVDC back-to-back station"
40,http://www.wikidata.org/entity/Q43,Turkey,3,Electrical substation
46,http://www.wikidata.org/entity/Q77,Uruguay,3,"Electrical substation, HVDC back-to-back station"
31,http://www.wikidata.org/entity/Q33,Finland,3,Electrical substation
21,http://www.wikidata.org/entity/Q227,Azerbaijan,3,Electrical substation
20,http://www.wikidata.org/entity/Q218,Romania,2,Electrical substation
22,http://www.wikidata.org/entity/Q230,Georgia,2,Electrical substation
13,http://www.wikidata.org/entity/Q191,Estonia,2,Electrical substation
47,http://www.wikidata.org/entity/Q79,Egypt,2,HVDC converter station
41,http://www.wikidata.org/entity/Q45,Portugal,2,Electrical substation
1,http://www.wikidata.org/entity/Q114,Kenya,1,HVDC converter station
0,http://www.wikidata.org/entity/Q1030,Namibia,1,Electrical substation
23,http://www.wikidata.org/entity/Q258,South Africa,1,Electrical substation
19,http://www.wikidata.org/entity/Q217,Moldova,1,Electrical substation
12,http://www.wikidata.org/entity/Q184,Belarus,1,Electrical substation
15,http://www.wikidata.org/entity/Q211,Latvia,1,Electrical substation
3,http://www.wikidata.org/entity/Q125372661,South Region,1,Electrical substation
2,http://www.wikidata.org/entity/Q115,Ethiopia,1,HVDC converter station
30,http://www.wikidata.org/entity/Q3224,New South Wales,1,Electrical substation
36,http://www.wikidata.org/entity/Q399,Armenia,1,Electrical substation
39,http://www.wikidata.org/entity/Q419,Peru,1,Electrical substation
45,http://www.wikidata.org/entity/Q733,Paraguay,1,Electrical substation
48,http://www.wikidata.org/entity/Q801,Israel,1,Electrical substation
49,http://www.wikidata.org/entity/Q851,Saudi Arabia,1,HVDC back-to-back station
51,http://www.wikidata.org/entity/Q902,Bangladesh,1,Electrical substation
50,http://www.wikidata.org/entity/Q865,Taiwan,1,Electrical substation
52,http://www.wikidata.org/entity/Q916,Angola,1,Electrical substation
55,http://www.wikidata.org/entity/Q968490,Shire of Harvey,1,Electrical substation
