country,countryLabel,count
http://www.wikidata.org/entity/Q30,United States,34247
http://www.wikidata.org/entity/Q183,Germany,2911
http://www.wikidata.org/entity/Q408,Australia,2498
http://www.wikidata.org/entity/Q145,United Kingdom,1829
http://www.wikidata.org/entity/Q298,Chile,1332
http://www.wikidata.org/entity/Q96,Mexico,1193
http://www.wikidata.org/entity/Q29,Spain,822
http://www.wikidata.org/entity/Q954,Zimbabwe,668
http://www.wikidata.org/entity/Q403,Serbia,484
http://www.wikidata.org/entity/Q142,France,479
http://www.wikidata.org/entity/Q20,Norway,447
http://www.wikidata.org/entity/Q159,Russia,434
http://www.wikidata.org/entity/Q794,Iran,415
http://www.wikidata.org/entity/Q419,Peru,396
http://www.wikidata.org/entity/Q213,Czech Republic,396
http://www.wikidata.org/entity/Q16,Canada,360
http://www.wikidata.org/entity/Q55,Netherlands,274
http://www.wikidata.org/entity/Q258,South Africa,256
http://www.wikidata.org/entity/Q36,Poland,233
http://www.wikidata.org/entity/Q241,Cuba,221
http://www.wikidata.org/entity/Q38,Italy,214
http://www.wikidata.org/entity/Q17,Japan,181
http://www.wikidata.org/entity/Q212,Ukraine,163
http://www.wikidata.org/entity/Q148,People's Republic of China,152
http://www.wikidata.org/entity/Q33,Finland,128
http://www.wikidata.org/entity/Q750,Bolivia,125
http://www.wikidata.org/entity/Q34,Sweden,124
http://www.wikidata.org/entity/Q414,Argentina,123
http://www.wikidata.org/entity/Q865,Taiwan,118
http://www.wikidata.org/entity/Q668,India,109
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,104
http://www.wikidata.org/entity/Q40,Austria,100
http://www.wikidata.org/entity/Q218,Romania,100
http://www.wikidata.org/entity/Q155,Brazil,71
http://www.wikidata.org/entity/Q31,Belgium,68
http://www.wikidata.org/entity/Q43,Turkey,65
http://www.wikidata.org/entity/Q1028,Morocco,65
http://www.wikidata.org/entity/Q851,Saudi Arabia,57
http://www.wikidata.org/entity/Q191,Estonia,56
http://www.wikidata.org/entity/Q262,Algeria,51
http://www.wikidata.org/entity/Q664,New Zealand,51
http://www.wikidata.org/entity/Q928,Philippines,48
http://www.wikidata.org/entity/Q711,Mongolia,45
http://www.wikidata.org/entity/Q79,Egypt,40
http://www.wikidata.org/entity/Q232,Kazakhstan,40
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,40
http://www.wikidata.org/entity/Q252,Indonesia,39
http://www.wikidata.org/entity/Q813,Kyrgyzstan,38
http://www.wikidata.org/entity/Q39,Switzerland,35
http://www.wikidata.org/entity/Q221,North Macedonia,33
http://www.wikidata.org/entity/Q45,Portugal,31
http://www.wikidata.org/entity/Q28513,Austria-Hungary,31
http://www.wikidata.org/entity/Q916,Angola,30
http://www.wikidata.org/entity/Q833,Malaysia,30
http://www.wikidata.org/entity/Q843,Pakistan,29
http://www.wikidata.org/entity/Q41,Greece,29
http://www.wikidata.org/entity/Q739,Colombia,28
http://www.wikidata.org/entity/Q1030,Namibia,27
http://www.wikidata.org/entity/Q884,South Korea,26
http://www.wikidata.org/entity/Q963,Botswana,23
http://www.wikidata.org/entity/Q1246,Kosovo,22
http://www.wikidata.org/entity/Q1016,Libya,22
http://www.wikidata.org/entity/Q953,Zambia,21
http://www.wikidata.org/entity/Q33946,Czechoslovakia,20
http://www.wikidata.org/entity/Q193619,Union of South Africa,20
http://www.wikidata.org/entity/Q1029,Mozambique,20
http://www.wikidata.org/entity/Q35,Denmark,18
http://www.wikidata.org/entity/Q15180,Soviet Union,18
http://www.wikidata.org/entity/Q924,Tanzania,17
http://www.wikidata.org/entity/Q1019,Madagascar,17
http://www.wikidata.org/entity/Q1032,Niger,16
http://www.wikidata.org/entity/Q27,Ireland,15
http://www.wikidata.org/entity/Q222,Albania,15
http://www.wikidata.org/entity/Q219,Bulgaria,14
http://www.wikidata.org/entity/Q211,Latvia,14
http://www.wikidata.org/entity/Q215,Slovenia,14
http://www.wikidata.org/entity/Q889,Afghanistan,14
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,14
http://www.wikidata.org/entity/Q399,Armenia,14
http://www.wikidata.org/entity/Q423,North Korea,14
http://www.wikidata.org/entity/Q691,Papua New Guinea,13
http://www.wikidata.org/entity/Q223,Greenland,12
http://www.wikidata.org/entity/Q881,Vietnam,12
http://www.wikidata.org/entity/Q265,Uzbekistan,12
http://www.wikidata.org/entity/Q869,Thailand,12
http://www.wikidata.org/entity/Q28,Hungary,11
http://www.wikidata.org/entity/Q1025,Mauritania,11
http://www.wikidata.org/entity/Q912,Mali,10
http://www.wikidata.org/entity/Q32,Luxembourg,10
http://www.wikidata.org/entity/Q734,Guyana,10
http://www.wikidata.org/entity/Q801,Israel,9
http://www.wikidata.org/entity/Q717,Venezuela,9
http://www.wikidata.org/entity/Q117,Ghana,9
http://www.wikidata.org/entity/Q736,Ecuador,9
http://www.wikidata.org/entity/Q796,Iraq,8
http://www.wikidata.org/entity/Q1033,Nigeria,8
http://www.wikidata.org/entity/Q34266,Russian Empire,8
http://www.wikidata.org/entity/Q819,Laos,8
http://www.wikidata.org/entity/Q774,Guatemala,8
http://www.wikidata.org/entity/Q174193,United Kingdom of Great Britain and Ireland,8
http://www.wikidata.org/entity/Q25,Wales,7
http://www.wikidata.org/entity/Q229,Cyprus,7
http://www.wikidata.org/entity/Q822,Lebanon,6
http://www.wikidata.org/entity/Q1206012,German Reich,6
http://www.wikidata.org/entity/Q965,Burkina Faso,6
http://www.wikidata.org/entity/Q114,Kenya,6
http://www.wikidata.org/entity/Q1036,Uganda,6
http://www.wikidata.org/entity/Q9676,Isle of Man,6
http://www.wikidata.org/entity/Q184,Belarus,5
http://www.wikidata.org/entity/Q1014,Liberia,5
http://www.wikidata.org/entity/Q783,Honduras,5
http://www.wikidata.org/entity/Q1006,Guinea,5
http://www.wikidata.org/entity/Q115,Ethiopia,5
http://www.wikidata.org/entity/Q810,Jordan,5
http://www.wikidata.org/entity/Q227,Azerbaijan,4
http://www.wikidata.org/entity/Q228,Andorra,4
http://www.wikidata.org/entity/Q863,Tajikistan,4
http://www.wikidata.org/entity/Q214,Slovakia,4
http://www.wikidata.org/entity/Q236,Montenegro,4
http://www.wikidata.org/entity/Q902,Bangladesh,4
http://www.wikidata.org/entity/Q233,Malta,3
http://www.wikidata.org/entity/Q858,Syria,3
http://www.wikidata.org/entity/Q948,Tunisia,3
http://www.wikidata.org/entity/Q334,Singapore,3
http://www.wikidata.org/entity/Q1044,Sierra Leone,3
http://www.wikidata.org/entity/Q712,Fiji,3
