country,countryLabel,count
http://www.wikidata.org/entity/Q183,Germany,9
http://www.wikidata.org/entity/Q159,Russia,2
http://www.wikidata.org/entity/Q865,Taiwan,2
http://www.wikidata.org/entity/Q30,United States,2
http://www.wikidata.org/entity/Q145,United Kingdom,1
http://www.wikidata.org/entity/Q212,Ukraine,1
http://www.wikidata.org/entity/Q38,Italy,1
http://www.wikidata.org/entity/Q833,Malaysia,1
http://www.wikidata.org/entity/Q211,Latvia,1
http://www.wikidata.org/entity/Q55,Netherlands,1
http://www.wikidata.org/entity/Q191,Estonia,1
http://www.wikidata.org/entity/Q33,Finland,1
http://www.wikidata.org/entity/Q36,Poland,1
http://www.wikidata.org/entity/Q39,Switzerland,1
