country,countryLabel,count
http://www.wikidata.org/entity/Q148,People's Republic of China,9301
http://www.wikidata.org/entity/Q30,United States,8035
http://www.wikidata.org/entity/Q142,France,2756
http://www.wikidata.org/entity/Q29,Spain,2240
http://www.wikidata.org/entity/Q213,Czech Republic,2041
http://www.wikidata.org/entity/Q668,India,1488
http://www.wikidata.org/entity/Q37,Lithuania,1252
http://www.wikidata.org/entity/Q145,United Kingdom,1100
http://www.wikidata.org/entity/Q34,Sweden,959
http://www.wikidata.org/entity/Q794,Iran,932
http://www.wikidata.org/entity/Q183,Germany,881
http://www.wikidata.org/entity/Q43,Turkey,707
http://www.wikidata.org/entity/Q869,Thailand,654
http://www.wikidata.org/entity/Q159,Russia,455
http://www.wikidata.org/entity/Q16,Canada,308
http://www.wikidata.org/entity/Q191,Estonia,292
http://www.wikidata.org/entity/Q408,Australia,291
http://www.wikidata.org/entity/Q17,Japan,269
http://www.wikidata.org/entity/Q854,Sri Lanka,218
http://www.wikidata.org/entity/Q884,South Korea,204
http://www.wikidata.org/entity/Q38,Italy,190
http://www.wikidata.org/entity/Q252,Indonesia,181
http://www.wikidata.org/entity/Q212,Ukraine,167
http://www.wikidata.org/entity/Q36,Poland,154
http://www.wikidata.org/entity/Q258,South Africa,152
http://www.wikidata.org/entity/Q40,Austria,150
http://www.wikidata.org/entity/Q20,Norway,139
http://www.wikidata.org/entity/Q184,Belarus,126
http://www.wikidata.org/entity/Q39,Switzerland,123
http://www.wikidata.org/entity/Q214,Slovakia,108
http://www.wikidata.org/entity/Q219,Bulgaria,99
http://www.wikidata.org/entity/Q232,Kazakhstan,90
http://www.wikidata.org/entity/Q155,Brazil,78
http://www.wikidata.org/entity/Q664,New Zealand,76
http://www.wikidata.org/entity/Q865,Taiwan,68
http://www.wikidata.org/entity/Q241,Cuba,67
http://www.wikidata.org/entity/Q423,North Korea,67
http://www.wikidata.org/entity/Q41,Greece,64
http://www.wikidata.org/entity/Q298,Chile,60
http://www.wikidata.org/entity/Q739,Colombia,59
http://www.wikidata.org/entity/Q796,Iraq,58
http://www.wikidata.org/entity/Q403,Serbia,56
http://www.wikidata.org/entity/Q27,Ireland,56
http://www.wikidata.org/entity/Q948,Tunisia,46
