country,countryLabel,count
http://www.wikidata.org/entity/Q183,Germany,18
http://www.wikidata.org/entity/Q145,United Kingdom,8
http://www.wikidata.org/entity/Q16,Canada,7
http://www.wikidata.org/entity/Q30,United States,6
http://www.wikidata.org/entity/Q17,Japan,4
http://www.wikidata.org/entity/Q408,Australia,4
http://www.wikidata.org/entity/Q35,Denmark,4
http://www.wikidata.org/entity/Q668,India,3
http://www.wikidata.org/entity/Q142,France,3
http://www.wikidata.org/entity/Q40,Austria,2
http://www.wikidata.org/entity/Q77,Uruguay,2
http://www.wikidata.org/entity/Q79,Egypt,2
http://www.wikidata.org/entity/Q55,Netherlands,2
http://www.wikidata.org/entity/Q159,Russia,1
http://www.wikidata.org/entity/Q851,Saudi Arabia,1
http://www.wikidata.org/entity/Q29,Spain,1
http://www.wikidata.org/entity/Q155,Brazil,1
http://www.wikidata.org/entity/Q31,Belgium,1
http://www.wikidata.org/entity/Q115,Ethiopia,1
http://www.wikidata.org/entity/Q114,Kenya,1
http://www.wikidata.org/entity/Q27,Ireland,1
http://www.wikidata.org/entity/Q148,People's Republic of China,1
