country,countryLabel,count
http://www.wikidata.org/entity/Q30,United States,12260
http://www.wikidata.org/entity/Q20,Norway,2097
http://www.wikidata.org/entity/Q148,People's Republic of China,1497
http://www.wikidata.org/entity/Q183,Germany,1245
http://www.wikidata.org/entity/Q145,United Kingdom,832
http://www.wikidata.org/entity/Q159,Russia,595
http://www.wikidata.org/entity/Q17,Japan,579
http://www.wikidata.org/entity/Q668,India,549
http://www.wikidata.org/entity/Q408,Australia,470
http://www.wikidata.org/entity/Q142,France,454
http://www.wikidata.org/entity/Q16,Canada,435
http://www.wikidata.org/entity/Q29,Spain,418
http://www.wikidata.org/entity/Q33,Finland,412
http://www.wikidata.org/entity/Q155,Brazil,379
http://www.wikidata.org/entity/Q38,Italy,338
http://www.wikidata.org/entity/Q34,Sweden,325
http://www.wikidata.org/entity/Q40,Austria,325
http://www.wikidata.org/entity/Q881,Vietnam,323
http://www.wikidata.org/entity/Q213,Czech Republic,314
http://www.wikidata.org/entity/Q43,Turkey,286
http://www.wikidata.org/entity/Q36,Poland,256
http://www.wikidata.org/entity/Q39,Switzerland,236
http://www.wikidata.org/entity/Q55,Netherlands,214
http://www.wikidata.org/entity/Q865,Taiwan,209
http://www.wikidata.org/entity/Q794,Iran,187
http://www.wikidata.org/entity/Q218,Romania,166
http://www.wikidata.org/entity/Q211,Latvia,165
http://www.wikidata.org/entity/Q212,Ukraine,150
http://www.wikidata.org/entity/Q252,Indonesia,136
http://www.wikidata.org/entity/Q664,New Zealand,121
http://www.wikidata.org/entity/Q837,Nepal,121
http://www.wikidata.org/entity/Q258,South Africa,110
http://www.wikidata.org/entity/Q96,Mexico,102
http://www.wikidata.org/entity/Q843,Pakistan,100
http://www.wikidata.org/entity/Q298,Chile,98
http://www.wikidata.org/entity/Q45,Portugal,94
http://www.wikidata.org/entity/Q902,Bangladesh,91
http://www.wikidata.org/entity/Q184,Belarus,89
http://www.wikidata.org/entity/Q35,Denmark,86
http://www.wikidata.org/entity/Q884,South Korea,84
http://www.wikidata.org/entity/Q414,Argentina,84
http://www.wikidata.org/entity/Q1036,Uganda,66
http://www.wikidata.org/entity/Q114,Kenya,63
http://www.wikidata.org/entity/Q191,Estonia,62
http://www.wikidata.org/entity/Q854,Sri Lanka,61
http://www.wikidata.org/entity/Q219,Bulgaria,60
http://www.wikidata.org/entity/Q224,Croatia,59
http://www.wikidata.org/entity/Q833,Malaysia,59
http://www.wikidata.org/entity/Q28,Hungary,58
http://www.wikidata.org/entity/Q739,Colombia,58
http://www.wikidata.org/entity/Q928,Philippines,56
http://www.wikidata.org/entity/Q262,Algeria,56
http://www.wikidata.org/entity/Q189,Iceland,56
http://www.wikidata.org/entity/Q79,Egypt,55
http://www.wikidata.org/entity/Q403,Serbia,54
http://www.wikidata.org/entity/Q31,Belgium,53
http://www.wikidata.org/entity/Q878,United Arab Emirates,53
http://www.wikidata.org/entity/Q869,Thailand,52
http://www.wikidata.org/entity/Q1033,Nigeria,50
http://www.wikidata.org/entity/Q77,Uruguay,48
http://www.wikidata.org/entity/Q232,Kazakhstan,48
http://www.wikidata.org/entity/Q419,Peru,44
http://www.wikidata.org/entity/Q230,Georgia,42
http://www.wikidata.org/entity/Q215,Slovenia,41
http://www.wikidata.org/entity/Q41,Greece,37
http://www.wikidata.org/entity/Q819,Laos,37
http://www.wikidata.org/entity/Q214,Slovakia,36
http://www.wikidata.org/entity/Q801,Israel,36
http://www.wikidata.org/entity/Q423,North Korea,36
http://www.wikidata.org/entity/Q1028,Morocco,35
http://www.wikidata.org/entity/Q221,North Macedonia,33
http://www.wikidata.org/entity/Q27,Ireland,32
