country,countryLabel,count
http://www.wikidata.org/entity/Q183,Germany,2741
http://www.wikidata.org/entity/Q145,United Kingdom,2211
http://www.wikidata.org/entity/Q55,Netherlands,1833
http://www.wikidata.org/entity/Q30,United States,1752
http://www.wikidata.org/entity/Q29,Spain,1490
http://www.wikidata.org/entity/Q142,France,1147
http://www.wikidata.org/entity/Q31,Belgium,1006
http://www.wikidata.org/entity/Q213,Czech Republic,918
http://www.wikidata.org/entity/Q43,Turkey,758
http://www.wikidata.org/entity/Q36,Poland,582
http://www.wikidata.org/entity/Q34,Sweden,576
http://www.wikidata.org/entity/Q38,Italy,555
http://www.wikidata.org/entity/Q33,Finland,534
http://www.wikidata.org/entity/Q41,Greece,428
http://www.wikidata.org/entity/Q159,Russia,422
http://www.wikidata.org/entity/Q20,Norway,413
http://www.wikidata.org/entity/Q40,Austria,331
http://www.wikidata.org/entity/Q16,Canada,318
http://www.wikidata.org/entity/Q17,Japan,286
http://www.wikidata.org/entity/Q39,Switzerland,228
http://www.wikidata.org/entity/Q212,Ukraine,202
http://www.wikidata.org/entity/Q35,Denmark,178
http://www.wikidata.org/entity/Q1206012,German Reich,171
http://www.wikidata.org/entity/Q34266,Russian Empire,169
http://www.wikidata.org/entity/Q28,Hungary,159
http://www.wikidata.org/entity/Q45,Portugal,156
http://www.wikidata.org/entity/Q155,Brazil,146
http://www.wikidata.org/entity/Q15180,Soviet Union,145
http://www.wikidata.org/entity/Q408,Australia,124
http://www.wikidata.org/entity/Q794,Iran,120
http://www.wikidata.org/entity/Q184,Belarus,108
http://www.wikidata.org/entity/Q148,People's Republic of China,92
http://www.wikidata.org/entity/Q801,Israel,84
http://www.wikidata.org/entity/Q858,Syria,75
http://www.wikidata.org/entity/Q664,New Zealand,72
http://www.wikidata.org/entity/Q16957,German Democratic Republic,70
http://www.wikidata.org/entity/Q219,Bulgaria,68
http://www.wikidata.org/entity/Q668,India,62
http://www.wikidata.org/entity/Q27,Ireland,61
http://www.wikidata.org/entity/Q214,Slovakia,47
http://www.wikidata.org/entity/Q865,Taiwan,42
http://www.wikidata.org/entity/Q96,Mexico,40
http://www.wikidata.org/entity/Q796,Iraq,40
http://www.wikidata.org/entity/Q37,Lithuania,36
http://www.wikidata.org/entity/Q902,Bangladesh,36
http://www.wikidata.org/entity/Q32,Luxembourg,35
http://www.wikidata.org/entity/Q218,Romania,33
http://www.wikidata.org/entity/Q191,Estonia,33
http://www.wikidata.org/entity/Q170072,Dutch Republic,33
http://www.wikidata.org/entity/Q262,Algeria,29
http://www.wikidata.org/entity/Q79,Egypt,24
http://www.wikidata.org/entity/Q28513,Austria-Hungary,23
http://www.wikidata.org/entity/Q252,Indonesia,23
http://www.wikidata.org/entity/Q33946,Czechoslovakia,23
http://www.wikidata.org/entity/Q1028,Morocco,22
http://www.wikidata.org/entity/Q215,Slovenia,22
http://www.wikidata.org/entity/Q211,Latvia,22
http://www.wikidata.org/entity/Q851,Saudi Arabia,22
http://www.wikidata.org/entity/Q948,Tunisia,22
http://www.wikidata.org/entity/Q43287,German Empire,21
http://www.wikidata.org/entity/Q414,Argentina,21
http://www.wikidata.org/entity/Q174193,United Kingdom of Great Britain and Ireland,21
